yearID,coefficient
1901,31.1080
1902,29.9115
1903,28.8037
1904,28.8037
1905,28.8037
1906,28.8037
1907,27.7750
1908,28.8037
1909,28.8037
1910,27.7750
1911,27.7750
1912,26.8172
1913,26.1852
1914,25.8372
1915,25.5822
1916,23.7829
1917,20.2000
1918,17.2058
1919,14.9271
1920,12.9186
1921,14.5093
1922,15.4612
1923,15.1895
1924,15.1010
1925,14.7571
1926,14.6184
1927,14.8985
1928,15.0717
1929,15.0717
1930,15.4920
1931,17.0175
1932,18.9683
1933,19.9923
1934,19.3458
1935,18.8762
1936,18.6499
1937,18.0023
1938,18.3853
1939,18.6053
1940,18.4727
1941,17.5950
1942,15.8391
1943,14.9558
1944,14.7013
1945,14.3752
1946,13.2713
1947,11.5902
1948,10.7715
1949,10.8769
1950,10.7566
1951,9.9705
1952,9.7456
1953,9.6729
1954,9.6369
1955,9.6609
1956,9.5190
1957,9.2145
1958,8.9700
1959,8.8779
1960,8.7480
1961,8.6604
1962,8.5556
1963,8.4533
1964,8.3444
1965,8.2122
1966,7.9764
1967,7.7615
1968,7.4421
1969,7.0572
1970,6.6641
1971,6.3903
1972,6.1870
1973,5.8298
1974,5.2476
1975,4.8095
1976,4.5480
1977,4.2707
1978,3.9679
1979,3.5658
1980,3.1410
1981,2.8466
1982,2.6817
1983,2.5984
1984,2.4910
1985,2.4063
1986,2.3610
1987,2.2780
1988,2.1882
1989,2.0878
1990,1.9809
1991,1.9001
1992,1.8442
1993,1.7915
1994,1.7461
1995,1.6984
1996,1.6501
1997,1.6121
1998,1.5878
1999,1.5535
2000,1.5028
2001,1.4616
2002,1.4389
2003,1.4068
2004,1.3702
2005,1.3251
2006,1.2838
2007,1.2481
2008,1.2020
2009,1.2063
2010,1.1868
2011,1.1504
2012,1.1273
2013,1.1110
2014,1.0932
2015,1.0918
2016,1.0783
2017,1.0558
2018,1.0306
2019,1.0122
2020,1.0000
